Designator,Footprint,Quantity,Value,LCSC Part #
"C2, C3, C4, C5, C7",C_Disc_D5.0mm_W2.5mm_P2.50mm,5,100n,
"J11, J12, J9",PinHeader_1x08_P2.54mm_Vertical,3,Conn_01x08,
J14,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
J15,RCBus_80p_Medium,1,RCBus_80PIN_68000,
"J2, J5",PinHeader_2x04_P2.54mm_Vertical,2,Conn_02x04_Odd_Even,
J3,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J4,PinHeader_2x09_P2.54mm_Vertical,1,Conn_02x09_Odd_Even,
J6,PinHeader_2x02_P2.54mm_Vertical,1,Conn_02x02_Odd_Even,
"J7, J8",PinSocket_1x06_P2.54mm_Horizontal,2,Conn_01x06,
"JP1, JP2, JP3, JP4",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,4,SolderJumper,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10K,
U2,DIP-16_W7.62mm_Socket,1,74LS138,
"U4, U5",DIP-48_W15.24mm_Socket,2,68901P,
U6,DIP-20_W7.62mm_Socket,1,74LS688,
X1,Oscillator_DIP-8,1,CXO_DIP8,
