"Reference","Value","Datasheet","Footprint","Qty","Description"
"C1,C2,C3,C4,C7","100n","~","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","5","Unpolarized ceramic capacitor"
"J1,J9,J11","Conn_01x08","~","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","3","Generic connector, single row, 01x08"
"J2,J5,J7,J8","Conn_01x06","~","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Horizontal","4","Generic connector, single row, 01x06, right angle"
"J3,J6","Conn_01x03","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","2","Generic connector, single row, 01x03"
"J4","Conn_02x10_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Horizontal","1","Generic connector, double row, 02x10, right angle"
"J10","Conn_02x08_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Horizontal","1","Generic connector, double row, 02x08, right angle"
"J12","Conn_02x04_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","1","Generic connector, double row, 02x04"
"J14","Conn_02x02_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","1","Generic connector, double row, 02x02"
"J15","RCBus_80PIN_68000","~","MyLibrary2023:RCBus_80p_Medium","1","Generic connector, double row, 02x40, right angle"
"JP1,JP2,JP3,JP4,JP5,JP6,JP7,JP8","SolderJumper","~","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","8","Solder Jumper, 2-pole, open"
"R1","10K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1","Resistor"
"U1","74LS138","http://www.ti.com/lit/gpn/sn74LS138","Package_DIP:DIP-16_W7.62mm_Socket","1","Decoder 3 to 8 active low outputs"
"U2,U3","68681P","","Package_DIP:DIP-40_W15.24mm_Socket","2","DUART"
"U4","74LS688","http://www.ti.com/lit/gpn/sn74LS688","MyLibrary2023:DIP-20_W7.62mm_Socket","1","8-bit magnitude comparator"
"X1","3.6864MHz","http://cdn-reichelt.de/documents/datenblatt/B400/OSZI.pdf","Oscillator:Oscillator_DIP-8","1","Crystal Clock Oscillator, DIP8-style metal package"
