"Reference","Value","Datasheet","Footprint","Qty","Description"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13","100n","~","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","13","Unpolarized ceramic capacitor"
"D1,D2","BAT43","http://www.vishay.com/docs/85660/bat42.pdf","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","2","30V 0.2A Small Signal Schottky Diode, DO-35"
"D3,D4,D5,D6","LED","~","LED_THT:LED_D3.0mm","4","Light emitting diode"
"J1","Conn_01x02","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Generic connector, single row, 01x02"
"J2","RCBus_80PIN_68000","~","MyLibrary2023:RCBus_80p_Medium","1","Generic connector, double row, 02x40, right angle"
"J3","Conn_01x03","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","Generic connector, single row, 01x03"
"J4,J5,J6","Conn_01x06","~","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Horizontal","3","Generic connector, single row, 01x06"
"R1,R2,R3,R4","1K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4","Resistor"
"RN1","4K7","http://www.vishay.com/docs/31509/csc.pdf","Resistor_THT:R_Array_SIP9","1","8 resistor network, star topology, bussed resistors, small symbol"
"RN2","10K","http://www.vishay.com/docs/31509/csc.pdf","Resistor_THT:R_Array_SIP9","1","8 resistor network, star topology, bussed resistors, small symbol"
"U1","74LS10","http://www.ti.com/lit/gpn/sn74LS10","MyLibrary2023:DIP-14_W7.62mm_Socket","1","Triple 3-input NAND"
"U2","74LS139","http://www.ti.com/lit/ds/symlink/sn74ls139a.pdf","MyLibrary2023:DIP-16_W7.62mm_Socket","1","Dual Decoder 1 of 4, Active low outputs"
"U3","74LS125","http://www.ti.com/lit/gpn/sn74LS125","MyLibrary2023:DIP-14_W7.62mm_Socket","1","Quad buffer 3-State outputs"
"U4","68302RC","","MyLibrary2023:PGA132","1","16/32-bit Microprocessor, 8-bit databus"
"U5","74LS148","http://www.ti.com/lit/gpn/sn74LS148","MyLibrary2023:DIP-16_W7.62mm_Socket","1","Priority Encoder 3 to 8 cascadable"
"X1","7.3728MHz","http://cdn-reichelt.de/documents/datenblatt/B400/OSZI.pdf","Oscillator:Oscillator_DIP-8","1","Crystal Clock Oscillator, DIP8-style metal package"
