Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C2, C3, C4, C5, C6, C7, C8, C9",C_Disc_D5.0mm_W2.5mm_P2.50mm,13,100n,
"D1, D2",D_DO-35_SOD27_P7.62mm_Horizontal,2,BAT43,
"D3, D4, D5, D6",LED_D3.0mm,4,LED,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J2,RCBus_80p_Medium,1,RCBus_80PIN_68000,
J3,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"J4, J5, J6",PinSocket_1x06_P2.54mm_Horizontal,3,Conn_01x06,
"R1, R2, R3, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,1K,
RN1,R_Array_SIP9,1,4K7,
RN2,R_Array_SIP9,1,10K,
U1,DIP-14_W7.62mm_Socket,1,74LS10,
U2,DIP-16_W7.62mm_Socket,1,74LS139,
U3,DIP-14_W7.62mm_Socket,1,74LS125,
U4,PGA132,1,68302RC,
U5,DIP-16_W7.62mm_Socket,1,74LS148,
X1,Oscillator_DIP-8,1,CXO_DIP8,
