"Reference","Value","Datasheet","Footprint","Qty","Description"
"C2,C3,C4,C5,C7","100n","~","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","5","Unpolarized ceramic capacitor"
"J2,J5","Conn_02x04_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical,MyLibrary2023:PinHeader_2x04_P2.54mm_Vertical","2","Generic connector, double row, 02x04,Generic connector, double row, 02x04, right angle"
"J3","Conn_01x03","~","MyLibrary2023:PinHeader_1x03_P2.54mm_Vertical","1","Generic connector, single row, 01x03"
"J4","Conn_02x09_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x09_P2.54mm_Vertical","1","Generic connector, double row, 02x09, right angle"
"J6","Conn_02x02_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","1","Generic connector, double row, 02x02"
"J7,J8","Conn_01x06","~","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Horizontal","2","Generic connector, single row, 01x06, right angle"
"J9,J11,J12","Conn_01x08","~","MyLibrary2023:PinHeader_1x08_P2.54mm_Vertical","3","Generic connector, single row, 01x08"
"J14","Conn_02x03_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","1","Generic connector, double row, 02x03, right angle"
"J15","RCBus_80PIN_68000","~","MyLibrary2023:RCBus_80p_Medium","1","Generic connector, double row, 02x20, right angle"
"JP1,JP2,JP3,JP4","SolderJumper","~","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","4","Solder Jumper, 2-pole, open"
"R1","10K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"U2","74LS138","http://www.ti.com/lit/gpn/sn74LS138","Package_DIP:DIP-16_W7.62mm_Socket","1","Decoder 3 to 8 active low outputs"
"U4,U5","68901P","","MyLibrary2023:DIP-48_W15.24mm_Socket","2","Multi-function peripheral device"
"U6","74LS688","http://www.ti.com/lit/gpn/sn74LS688","MyLibrary2023:DIP-20_W7.62mm_Socket","1","8-bit magnitude comparator"
"X1","CXO_DIP8","http://cdn-reichelt.de/documents/datenblatt/B400/OSZI.pdf","Oscillator:Oscillator_DIP-8","1","Crystal Clock Oscillator, DIP8-style metal package"
