"Reference","Value","Qty","Description"
"C1,C2,C3,C4,C5,C6,C7","100n","7","Unpolarized ceramic capacitor"
"J1","RCBus_80PIN_68000","1","Generic connector, double row, 02x40, right angle"
"J2,J3,J4,J5,J6,J7,J8,J9","Conn_01x03","8","Generic connector, single row, 01x03"
"J10,J11,J12","Conn_01x06","3","Generic connector, single row, 01x06"
"R1,R2","10K","2","Resistor"
"U1","74LS125","1","Quad buffer 3-State outputs"
"U2","74LS139","1","Dual Decoder 1 of 4, Active low outputs"
"U3,U4","SST39SF040","2","Silicon Storage Technology (SSF) 512k x 8 Flash ROM"
"U5","74LS138","1","Decoder 3 to 8 active low outputs"
"U6,U7","AS6C4008-55PCN","2","512K x 8 Low Power CMOS RAM, DIP-32"
