Reference,Value,Qty,Description
"C1,C2,C3,C5,C6,C7,C8,C9,C10,C11,C12",100n,11,Unpolarized ceramic capacitor
"D1,D2,D5",BAT43,3,"30V 0.2A Small Signal Schottky Diode, DO-35"
"D3,D4",LED,2,Light emitting diode
J1,Conn_02x04_Odd_Even,1,"Generic connector, double row, 02x04"
J2,RCBus_80PIN_68000,1,"Generic connector, double row, 02x40, right angle"
"J3,J5,J6,J7",Conn_01x03,4,"Generic connector, single row, 01x03"
J4,Conn_01x02,1,"Generic connector, single row, 01x02"
"R1,R2",1K,2,Resistor
RN1,4K7,1,"8 resistor network, star topology, bussed resistors, small symbol"
RN2,10K,1,"8 resistor network, star topology, bussed resistors, small symbol"
U1,,1,
U2,74LS04,1,Hex Inverter
U3,74LS148,1,8 line to 3 line priority encoder
U4,74LS20,1,Dual 4-input NAND
U5,74LS139,1,"Dual Decoder 1 of 4, Active low outputs"
"U6,U8",74LS175,2,"4-bit D Flip-Flop, reset"
U7,74LS156,1,"Dual 2 to 4 lines Decoder/Demultiplexer, Open Collector"
U9,74LS00,1,quad 2-input NAND gate
X1,7.3728MHz,1,"Crystal Clock Oscillator, DIP8-style metal package"
