"Reference","Value","Qty","Description"
"C1,C2,C3,C4,C5,C6,C7,C8,C9","100n","9","Unpolarized ceramic capacitor"
"J1","RCBus_80PIN_68000","1","Generic connector, double row, 02x40, right angle"
"J2","Conn_02x03_Odd_Even","1","Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)"
"U1","74LS125","1","Quad buffer 3-State outputs"
"U2","74LS139","1","Dual Decoder 1 of 4, Active low outputs"
"U3,U4","SST39SF040","2","Silicon Storage Technology (SSF) 512k x 8 Flash ROM"
"U5","74LS138","1","Decoder 3 to 8 active low outputs"
"U6,U7","AS6C4008-55PCN","2","512K x 8 Low Power CMOS RAM, DIP-32"
"U8","74LS165","1","Shift Register 8-bit, parallel load"
"U9","74LS32","1","Quad 2-input OR"
